compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	tags
inosine (U - 15N)	UGQMRVRMYYASKQ-SHKQESLVSA-N	[M+H]+	273.07618	1.02	0.72	1.32	5	positive					
phenylalanine (U - 13C, 15N)	COLNVLDHVKWLRT-CMLFETTRSA-N	[M+H]+	176.11348	1.452953555	1.252953555	1.652953555	5	positive					
tryptophan (U - 13C, 15N)	QIVBCDIJIAJPQS-HNEHNLBWSA-N	[M+H]+	218.12812	2.200266822	2.000266822	2.400266822	5	positive					
caffeine	RYYVLZVUVIJVGH-UHFFFAOYSA-N	[M+H]+	195.087676	2.65253674	2.45253674	2.852536742	5	positive					
ABMBA (unlabeled)	LCMZECCEEOQWLQ-UHFFFAOYSA-N	[M+H]+	229.9811165	4.7	4.5	4.9	5	positive					
enoxolone	MPDGHEJMBKOTSU-YKLVYJNSSA-N	[M+H]+	471.34691	6.60592789	6.40592789	6.80592789	5	positive					
9-cis-retinoic acid	SHGAZHPCJJPHSC-YCNIQYBTSA-N	[M+H]+	301.21623	7.37277818	7.17277818	7.57277818	5	positive					
sarsasapogenin	GMBQZIIUCVWOCD-WWASVFFGSA-N	[M+H]+	417.336345	8.15510135	7.95510135	8.35510135	5	positive					
nigericin	MOYOTUKECQMGHE-PDEFJWSRSA-M	[M+H]+	747.4654072	8.559813328	8.35981333	8.759813328	5	positive					
