label	adduct	mz	rt_peak	rt_min	rt_max	inchi	inchi_key	mz_tolerance	polarity
ABMBA (unlabeled)	[M+H]+	229.9811	1.09380632	0.79380632	1.39380632	InChI=1S/C8H8BrNO2/c1-4-2-5(8(11)12)7(10)6(9)3-4/h2-3H,10H2,1H3,(H,11,12)	LCMZECCEEOQWLQ-UHFFFAOYSA-N	5	positive
thymine (U - 13C, 15N)	[M+H]+	134.06104	1.25523106	0.95523106	1.55523106	InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)/i1+1,2+1,3+1,4+1,5+1,6+1,7+1	RWQNBRDOKXIBIV-BNUYUSEDSA-N	5	positive
adenine (U - 15N)	[M+H]+	141.04694	2.557602	2.257602	2.857602	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)/i6+1,7+1,8+1,9+1,10+1	GFFGJBXGBJISGV-CIKZIQIKSA-N	5	positive
hypoxanthine (U - 15N)	[M+H]+	141.03392	3.10296734	2.80296734	3.40296734	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)/i6+1,7+1,8+1,9+1	FDGQSTZJBFJUBT-NNZQUYKOSA-N	5	positive
inosine (U - 15N)	[M+H]+	273.07618	5.43423596	5.13423596	5.73423596	InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1/i11+1,12+1,13+1,14+1	UGQMRVRMYYASKQ-SHKQESLVSA-N	5	positive
guanine (U - 15N)	[M+H]+	157.04186	6.26535999	5.96535999	6.56535999	InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)/i6+1,7+1,8+1,9+1,10+1	UYTPUPDQBNUYGX-CIKZIQIKSA-N	5	positive
N-acetyl-glucosamine (U - 13C)	[M+H]+	228.117317	6.70781529	6.40781529	7.00781529	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8?/m1/s1/i2+1,4+1,5+1,6+1,7+1,8+1	OVRNDRQMDRJTHS-ZEUBEQSHSA-N	5	positive
phenylalanine (U - 13C, 15N)	[M+H]+	176.11348	8.9793057	8.6793057	9.2793057	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1/i1+1,2+1,3+1,4+1,5+1,6+1,7+1,8+1,9+1,10+1	COLNVLDHVKWLRT-CMLFETTRSA-N	5	positive
tryptophan (U - 13C, 15N)	[M+H]+	218.12812	10.1566493	9.85664925	10.4566493	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m1/s1/i1+1,2+1,3+1,4+1,5+1,6+1,7+1,8+1,9+1,10+1,11+1,12+1,13+1	QIVBCDIJIAJPQS-HNEHNLBWSA-N	5	positive
methionine (U - 13C, 15N)	[M+H]+	156.07213	10.4409554	10.1409554	10.7409554	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1/i1+1,2+1,3+1,4+1,5+1,6+1	FFEARJCKVFRZRR-XAFSXMPTSA-N	5	positive
valine (U - 13C, 15N)	[M+H]+	124.10006	11.1160091	10.8160091	11.4160091	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1/i1+1,2+1,3+1,4+1,5+1,6+1	KZSNJWFQEVHDMF-XAFSXMPTSA-N	5	positive
tyrosine (U - 13C, 15N)	[M+H]+	192.10839	11.8551556	11.5551556	12.1551556	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1/i1+1,2+1,3+1,4+1,5+1,6+1,7+1,8+1,9+1,10+1	OUYCCCASQSFEME-CMLFETTRSA-N	5	positive
alanine (U - 13C, 15N)	[M+H]+	94.06205	13.4050907	13.1050907	13.7050907	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1/i1+1,2+1,3+1,4+1	QNAYBMKLOCPYGJ-UVYXLFMMSA-N	5	positive
threonine (U - 13C, 15N)	[M+H]+	125.07597	13.4895723	13.1895723	13.7895723	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1/i1+1,2+1,3+1,4+1,5+1	AYFVYJQAPQTCCC-KJQIOZMZSA-N	5	positive
asparagine (U - 13C, 15N)	[M+H]+	139.06825	14.3680889	14.0680889	14.6680889	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1/i1+1,2+1,3+1,4+1,5+1,6+1	DCXYFEDJOCDNAF-FLEDYEEXSA-N	5	positive
glutamic acid (U - 13C, 15N)	[M+H]+	154.07424	15.9353896	15.6353896	16.2353896	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1/i1+1,2+1,3+1,4+1,5+1,6+1	WHUUTDBJXJRKMK-UFLWJPECSA-N	5	positive
aspartic acid (U - 13C, 15N)	[M+H]+	139.05523	16.13036	15.83036	16.43036	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1/i1+1,2+1,3+1,4+1,5+1	CKLJMWTZIZZHCS-NYTNKSBQSA-N	5	positive
cystine (U - 13C, 15N)	[M+H]+	249.04532	16.9043083	16.6043083	17.2043083	InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1/i1+1,2+1,3+1,4+1,5+1,6+1,7+1,8+1	LEVWYRKDKASIDU-OGYFDXEDSA-N	5	positive
arginine (U - 13C, 15N)	[M+H]+	185.12722	16.9399154	16.6399154	17.2399154	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1/i1+1,2+1,3+1,4+1,5+1,6+1,7+1,8+1,9+1,10+1	ODKSFYDXXFIFQN-GZYYCROJSA-N	5	positive
lysine (U - 13C, 15N)	[M+H]+	155.127	17.0113104	16.7113104	17.3113104	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1/i1+1,2+1,3+1,4+1,5+1,6+1,7+1,8+1	KDXKERNSBIXSRK-JMKXWGMHSA-N	5	positive
