compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	standard_source	rt_space
ABMBA (unlabeled)	LCMZECCEEOQWLQ-UHFFFAOYSA-N	[M+H]+	229.9811	1.09380632	0.79380632	1.39380632	5	positive					HF_Aug2019
thymine (U - 13C, 15N)	RWQNBRDOKXIBIV-BNUYUSEDSA-N	[M+H]+	134.06104	1.25523106	0.95523106	1.55523106	5	positive					HF_Aug2019
adenine (U - 15N)	GFFGJBXGBJISGV-CIKZIQIKSA-N	[M+H]+	141.04694	2.677602	2.377602	2.977602	5	positive					HF_Aug2019
hypoxanthine (U - 15N)	FDGQSTZJBFJUBT-NNZQUYKOSA-N	[M+H]+	141.03392	3.10296734	2.80296734	3.40296734	5	positive					HF_Aug2019
inosine (U - 15N)	UGQMRVRMYYASKQ-SHKQESLVSA-N	[M+H]+	273.07618	5.43423596	5.13423596	5.73423596	5	positive					HF_Aug2019
guanine (U - 15N)	UYTPUPDQBNUYGX-CIKZIQIKSA-N	[M+H]+	157.04186	6.26535999	5.96535999	6.56535999	5	positive					HF_Aug2019
N-acetyl-glucosamine (U - 13C)	OVRNDRQMDRJTHS-ZEUBEQSHSA-N	[M+H]+	228.117317	6.70781529	6.40781529	7.00781529	5	positive					HF_Aug2019
phenylalanine (U - 13C, 15N)	COLNVLDHVKWLRT-CMLFETTRSA-N	[M+H]+	176.11348	8.9793057	8.6793057	9.2793057	5	positive					HF_Aug2019
tryptophan (U - 13C, 15N)	QIVBCDIJIAJPQS-HNEHNLBWSA-N	[M+H]+	218.12812	10.1566493	9.85664925	10.4566493	5	positive					HF_Aug2019
methionine (U - 13C, 15N)	FFEARJCKVFRZRR-XAFSXMPTSA-N	[M+H]+	156.07213	10.4409554	10.1409554	10.7409554	5	positive					HF_Aug2019
valine (U - 13C, 15N)	KZSNJWFQEVHDMF-XAFSXMPTSA-N	[M+H]+	124.10006	11.1160091	10.8160091	11.4160091	5	positive					HF_Aug2019
tyrosine (U - 13C, 15N)	OUYCCCASQSFEME-CMLFETTRSA-N	[M+H]+	192.10839	11.8551556	11.5551556	12.1551556	5	positive					HF_Aug2019
alanine (U - 13C, 15N)	QNAYBMKLOCPYGJ-UVYXLFMMSA-N	[M+H]+	94.06205	13.4050907	13.1050907	13.7050907	5	positive					HF_Aug2019
threonine (U - 13C, 15N)	AYFVYJQAPQTCCC-KJQIOZMZSA-N	[M+H]+	125.07597	13.4895723	13.1895723	13.7895723	5	positive					HF_Aug2019
asparagine (U - 13C, 15N)	DCXYFEDJOCDNAF-FLEDYEEXSA-N	[M+H]+	139.06825	14.3680889	14.0680889	14.6680889	5	positive					HF_Aug2019
glutamic acid (U - 13C, 15N)	WHUUTDBJXJRKMK-UFLWJPECSA-N	[M+H]+	154.07424	15.9353896	15.6353896	16.2353896	5	positive					HF_Aug2019
aspartic acid (U - 13C, 15N)	CKLJMWTZIZZHCS-NYTNKSBQSA-N	[M+H]+	139.05523	16.13036	15.83036	16.43036	5	positive					HF_Aug2019
cystine (U - 13C, 15N)	LEVWYRKDKASIDU-OGYFDXEDSA-N	[M+H]+	249.04532	16.9043083	16.6043083	17.2043083	5	positive					HF_Aug2019
arginine (U - 13C, 15N)	ODKSFYDXXFIFQN-GZYYCROJSA-N	[M+H]+	185.12722	16.9399154	16.6399154	17.2399154	5	positive					HF_Aug2019
lysine (U - 13C, 15N)	KDXKERNSBIXSRK-JMKXWGMHSA-N	[M+H]+	155.127	17.0113104	16.7113104	17.3113104	5	positive					HF_Aug2019
